number,name,status
1,PEP Purpose and Guidelines,Active
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
394,The “python” Command on Unix-Like Systems,Active
482,Literature Overview for Type Hints,Final
404,Python 2.8 Un-release Schedule,Final
430,Migrating to Python 3 as the default online documentation,Final
452,API for Cryptographic Hash Functions v2.0,Final
457,Notation For Positional-Only Parameters,Final
483,The Theory of Type Hints,Final
333,Python Web Server Gateway Interface v1.0,Final
434,IDLE Enhancement Exception for All Branches,Active
290,Code Migration and Modernization,Active
291,Backward Compatibility for the Python 2 Standard Library,Final
287,reStructuredText Docstring Format,Active
272,API for Block Encryption Algorithms v1.0,Final
257,Docstring Conventions,Active
504,Using the System RNG by default,Withdrawn
497,A standard mechanism for backward compatibility,Rejected
500,A protocol for delegating datetime methods to their tzinfo implementations,Rejected
3103,A Switch/Case Statement,Rejected
390,Static metadata for Distutils,Rejected
502,String Interpolation - Extended Discussion,Rejected
8013,The External Council Governance Model,Rejected
3152,Cofunctions,Rejected
8014,The Commons Governance Model,Rejected
8015,Organization of the Python community,Rejected
3153,Asynchronous IO support,Superseded
8010,The Technical Leader Governance Model,Rejected
395,Qualified Names for Modules,Withdrawn
396,Module Version Numbers,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8012,The Community Governance Model,Rejected
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3146,Merging Unladen Swallow into CPython,Withdrawn
3142,Add a “while” clause to generator expressions,Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3130,Access to Current Module/Class/Function,Rejected
3128,BList: A Faster List-like Type,Rejected
3133,Introducing Roles,Rejected
3125,Remove Backslash Continuation,Rejected
3117,Postfix type declarations,Rejected
3136,Labeled break and continue,Rejected
3001,Procedure for reviewing and improving standard library modules,Withdrawn
690,Lazy Imports,Rejected
754,IEEE 754 Floating Point Special Values,Rejected
3122,Delineation of the main module,Rejected
3126,Remove Implicit String Concatenation,Rejected
3140,"str(container) should call str(item), not repr(item)",Rejected
677,Callable Type Syntax,Rejected
665,A file format to list Python dependencies for reproducibility of an application,Rejected
