number,name,status
1,PEP Purpose and Guidelines,Active
333,Python Web Server Gateway Interface v1.0,Final
394,The “python” Command on Unix-Like Systems,Active
457,Notation For Positional-Only Parameters,Final
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
434,IDLE Enhancement Exception for All Branches,Active
452,API for Cryptographic Hash Functions v2.0,Final
430,Migrating to Python 3 as the default online documentation,Final
404,Python 2.8 Un-release Schedule,Final
290,Code Migration and Modernization,Active
291,Backward Compatibility for the Python 2 Standard Library,Final
248,Python Database API Specification v1.0,Final
287,reStructuredText Docstring Format,Active
249,Python Database API Specification v2.0,Final
272,API for Block Encryption Algorithms v1.0,Final
257,Docstring Conventions,Active
8015,Organization of the Python community,Rejected
8014,The Commons Governance Model,Rejected
8013,The External Council Governance Model,Rejected
8012,The Community Governance Model,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8010,The Technical Leader Governance Model,Rejected
3153,Asynchronous IO support,Superseded
3152,Cofunctions,Rejected
3146,Merging Unladen Swallow into CPython,Withdrawn
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3142,Add a “while” clause to generator expressions,Rejected
3140,"str(container) should call str(item), not repr(item)",Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3136,Labeled break and continue,Rejected
3130,Access to Current Module/Class/Function,Rejected
3133,Introducing Roles,Rejected
3128,BList: A Faster List-like Type,Rejected
3126,Remove Implicit String Concatenation,Rejected
3125,Remove Backslash Continuation,Rejected
3117,Postfix type declarations,Rejected
3122,Delineation of the main module,Rejected
3103,A Switch/Case Statement,Rejected
3001,Procedure for reviewing and improving standard library modules,Withdrawn
677,Callable Type Syntax,Rejected
690,Lazy Imports,Rejected
666,Reject Foolish Indentation,Rejected
754,IEEE 754 Floating Point Special Values,Rejected
665,A file format to list Python dependencies for reproducibility of an application,Rejected
663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
662,Editable installs via virtual wheels,Rejected
651,Robust Stack Overflow Handling,Rejected
650,Specifying Installer Requirements for Python Projects,Withdrawn
645,Allow writing optional types as ,Withdrawn
648,Extensible customizations of the interpreter at startup,Rejected
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
622,Structural Pattern Matching,Superseded
640,Unused variable syntax,Rejected
637,Support for indexing with keyword arguments,Rejected
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
611,The one million limit,Withdrawn
620,Hide implementation details from the C API,Withdrawn
